tracker_id,client_slug,animal_type,animal_name,latitude,longitude,timestamp,battery_voltage,fix_number
TRK-001,custodia,Leopard,Leopard Alpha,24.7136,46.6753,2025-11-01T10:00:00Z,85,1
TRK-002,custodia,Oryx,Oryx Beta,24.7236,46.6853,2025-11-01T10:15:00Z,92,1
TRK-001,custodia,Leopard,Leopard Alpha,24.7146,46.6763,2025-11-01T10:30:00Z,84,2
TRK-003,custodia,Leopard,Leopard Gamma,24.7336,46.6953,2025-11-01T10:45:00Z,78,1
TRK-002,custodia,Oryx,Oryx Beta,24.7246,46.6863,2025-11-01T11:00:00Z,91,2
TRK-001,custodia,Leopard,Leopard Alpha,24.7156,46.6773,2025-11-01T11:15:00Z,83,3
TRK-004,custodia,Leopard,Leopard Delta,24.7436,46.7053,2025-11-01T11:30:00Z,76,1
TRK-002,custodia,Oryx,Oryx Beta,24.7256,46.6873,2025-11-01T11:45:00Z,90,3
TRK-001,custodia,Leopard,Leopard Alpha,24.7166,46.6783,2025-11-01T12:00:00Z,82,4
TRK-005,custodia,Oryx,Oryx Epsilon,24.7536,46.7153,2025-11-01T12:15:00Z,88,1
TRK-003,custodia,Leopard,Leopard Gamma,24.7346,46.6963,2025-11-01T12:30:00Z,77,2
TRK-002,custodia,Oryx,Oryx Beta,24.7266,46.6883,2025-11-01T12:45:00Z,89,4
TRK-001,custodia,Leopard,Leopard Alpha,24.7176,46.6793,2025-11-01T13:00:00Z,81,5
TRK-004,custodia,Leopard,Leopard Delta,24.7446,46.7063,2025-11-01T13:15:00Z,75,2
TRK-002,custodia,Oryx,Oryx Beta,24.7276,46.6893,2025-11-01T13:30:00Z,88,5
TRK-001,custodia,Leopard,Leopard Alpha,24.7186,46.6803,2025-11-01T13:45:00Z,80,6
TRK-005,custodia,Oryx,Oryx Epsilon,24.7546,46.7163,2025-11-01T14:00:00Z,87,2
TRK-003,custodia,Leopard,Leopard Gamma,24.7356,46.6973,2025-11-01T14:15:00Z,76,3
TRK-002,custodia,Oryx,Oryx Beta,24.7286,46.6903,2025-11-01T14:30:00Z,87,6
TRK-001,custodia,Leopard,Leopard Alpha,24.7196,46.6813,2025-11-01T14:45:00Z,79,7
TRK-004,custodia,Leopard,Leopard Delta,24.7456,46.7073,2025-11-01T15:00:00Z,74,3
TRK-002,custodia,Oryx,Oryx Beta,24.7296,46.6913,2025-11-01T15:15:00Z,86,7
